Ticket_ID,Date_signalement,Site,Ligne_production,Produit,Type_incident,Priorite,Duree_minutes,Statut
TCKT122,2025-03-05,France-Lyon,Ligne A1,IBUPRO400,défaut technique,critique,169,en cours
TCKT002,2025-03-15,Germany-Dusseldorf,Linie 3,AMOX250C,manquant,majeure,45,clos
TCKT053,2025-03-02,USA-Chicago,Line 4,IBUPRO400,erreur étiquetage,majeure,66,ouvert
TCKT066,2025-03-02,USA-Chicago,Linie 3,IBUPRO400,contamination,mineure,22,ouvert
TCKT032,2025-03-03,Germany-Munich,Linie 3,PARA500MG,contamination,critique,56,clos
TCKT099,2025-03-02,France-Lyon,Linie 5,VACCINX,défaut technique,majeure,211,en cours
TCKT044,2025-03-02,France-Lyon,Ligne C4,ASPIRIN81,défaut technique,majeure,218,ouvert
TCKT071,2025-03-05,Germany-Munich,Line 4,VACCINX,documentation manquante,mineure,58,clos
TCKT084,2025-03-19,Germany-Berlin,Ligne A1,AMOX250C,erreur étiquetage,mineure,15,ouvert
TCKT009,2025-03-20,Germany-Berlin,Ligne A1,VACCINX,contamination,majeure,235,ouvert
TCKT028,2025-03-01,USA-Boston,Line 2,AMOX500,documentation manquante,mineure,43,ouvert
TCKT012,2025-03-27,France-Lyon,Ligne B2,PARA500MG,erreur étiquetage,mineure,53,ouvert
TCKT113,2025-03-03,USA-Boston,Ligne A1,AMOX250C,documentation manquante,majeure,156,en cours
TCKT077,2025-03-17,France-Grenoble,Line 2,AMOX250C,erreur étiquetage,mineure,36,clos
TCKT118,2025-03-07,France-Lyon,Linie 2,VACCINX,erreur étiquetage,majeure,228,clos
TCKT144,2025-03-05,Germany-Munich,Line 4,ZINCPLUS,documentation manquante,mineure,26,clos
TCKT005,2025-03-06,Germany-Munich,Linie 5,AMOX250C,contamination,critique,228,clos
TCKT018,2025-03-01,France-Grenoble,Linie 2,AMOX500,contamination,critique,178,ouvert
TCKT117,2025-03-06,Germany-Munich,Ligne A1,AMOX250C,défaut technique,mineure,52,ouvert
TCKT027,2025-03-05,Germany-Berlin,Line 7,VACCINX,défaut technique,mineure,51,clos
TCKT105,2025-03-05,USA-Boston,Line 7,VITD1000,documentation manquante,mineure,38,ouvert
TCKT130,2025-03-05,USA-Boston,Linie 3,VITD1000,défaut technique,critique,135,clos
TCKT058,2025-03-08,Germany-Munich,Linie 3,ASPIRIN81,erreur étiquetage,mineure,26,en cours
TCKT100,2025-03-03,Germany-Berlin,Line 2,ASPIRIN81,défaut technique,mineure,28,ouvert
TCKT025,2025-03-12,Germany-Berlin,Ligne B2,VITD1000,contamination,majeure,109,ouvert
TCKT026,2025-03-18,France-Grenoble,Linie 2,ZINCPLUS,documentation manquante,majeure,29,clos
TCKT020,2025-03-17,Germany-Berlin,Line 7,IBUPRO400,documentation manquante,critique,199,ouvert
TCKT013,2025-03-07,USA-Boston,Linie 3,VITD1000,défaut technique,mineure,38,clos
TCKT097,2025-03-07,USA-Boston,Linie 3,VACCINX,erreur étiquetage,critique,64,en cours
TCKT017,2025-03-09,Germany-Munich,Line 2,AMOX500,contamination,critique,278,ouvert
TCKT064,2025-03-01,France-Lyon,Line 2,IBUPRO200,manquant,critique,89,clos
TCKT046,2025-03-09,Germany-Munich,Line 7,IBUPRO400,défaut technique,majeure,293,en cours
TCKT033,2025-03-02,Germany-Berlin,Linie 3,IBUPRO200,contamination,critique,201,en cours
TCKT094,2025-03-11,France-Lyon,Line 4,IBUPRO400,erreur étiquetage,critique,102,ouvert
TCKT016,2025-03-12,Germany-Munich,Linie 3,VITD1000,documentation manquante,mineure,10,ouvert
TCKT089,2025-03-12,Germany-Berlin,Linie 3,AMOX500,défaut technique,majeure,32,ouvert
TCKT037,2025-03-20,Germany-Berlin,Line 7,VITD1000,manquant,critique,121,clos
TCKT038,2025-03-09,France-Grenoble,Ligne C4,AMOX250C,défaut technique,mineure,46,en cours
TCKT039,2025-03-12,France-Lyon,Ligne C4,AMOX250C,défaut technique,mineure,19,clos
TCKT040,2025-03-14,France-Lyon,Line 4,ZINCPLUS,erreur étiquetage,majeure,189,en cours
TCKT048,2025-03-04,USA-Chicago,Linie 5,PARA500MG,contamination,mineure,18,ouvert
TCKT133,2025-03-09,France-Lyon,Ligne A1,ASPIRIN81,manquant,majeure,253,en cours
TCKT043,2025-03-12,Germany-Munich,Ligne A1,ZINCPLUS,documentation manquante,mineure,46,clos
TCKT007,2025-03-16,France-Lyon,Ligne C4,ZINCPLUS,manquant,mineure,58,ouvert
